,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23,2023-06-27,2023-07-01,2023-07-05,2023-07-09,2023-07-13,2023-07-17,2023-07-21
2023-04-24,1.0,1.00412419053569,1.0083438723753246,1.012580287746386,1.0169375470836244,1.02064600232366,1.024824494049485,1.028781477484891,1.030775927345309,1.0345525156032493,1.0375763188054035,1.0546266146702965,1.0666736789742735,1.072164465388048,1.081367722770643,1.0861058001132695,1.0941797733029048,1.0977441080537353,1.1038948617892608,1.1117299731213093,1.1129521088202996,1.1193452087123554,1.1255684273167406
2023-04-28,,1.0000000000000002,1.0042625943444352,1.0084946056932744,1.0128559470003893,1.0166666964307174,1.0208625961412232,1.024845316477733,1.026973133518578,1.0307549220129044,1.0337912299600596,1.0496342467437427,1.0609815859502456,1.066341848324663,1.0752183218442957,1.0799973519670107,1.0881237265166657,1.091854471731898,1.0980028696973048,1.1056020632096943,1.1069388133810572,1.113283196451987,1.1193584392434952
2023-05-02,,,0.9999999999999999,1.0042225108380831,1.0086055308555522,1.01259196559114,1.0168203950950565,1.0208442677496103,1.023178325756706,1.0269692675096966,1.0300580528944898,1.0445945390802465,1.0551853542554868,1.0604206883095704,1.0688618630146267,1.0736381205843608,1.081831916384807,1.0858293738750042,1.0919701463585418,1.0993806211785218,1.100865003888353,1.1070941692442482,1.113053975651157
2023-05-06,,,,1.0,1.0043095641711008,1.008124004823793,1.0122975034266302,1.0162846666095673,1.0185054240570812,1.0222731240230132,1.0252098077506007,1.038371111444592,1.0481584006983247,1.0531735438919338,1.0615690672311904,1.066592105822943,1.0748186272992155,1.0786682030318886,1.0848267782341152,1.0917078909686648,1.0932217998598959,1.0996392451941346,1.1052568291827871
2023-05-10,,,,,1.0000000000000002,1.0040296551690777,1.0082481281861155,1.0122885878279637,1.0147641220842092,1.0185436586994672,1.021566508234371,1.033452047672514,1.0425056069499297,1.0474181644469842,1.0553216566995616,1.0603098195241842,1.0686240543675163,1.0728127520430724,1.078959922242968,1.085715660153834,1.0873952391471622,1.0936452707362263,1.099189318387494
2023-05-14,,,,,,1.0,1.0044440297983546,1.0086914039774912,1.0120364743731778,1.0158915997070528,1.019401485358775,1.0302531370388222,1.0387316121347812,1.043744764558027,1.0504244473460584,1.0548869164406547,1.06334851448751,1.0686683314886503,1.0747499357613304,1.0820656916288391,1.0841340424630144,1.0896240976654317,1.0955491282996135
2023-05-18,,,,,,,1.0,1.0042945650643453,1.0078516058038232,1.0117212192307539,1.0152957492285262,1.0249346735598277,1.0327164668997093,1.0376258295854432,1.0438816146245877,1.048326403950222,1.0568422955935526,1.0624305432870436,1.0685018036528298,1.0756627488373935,1.0778811726309288,1.0832470872867377,1.0890786185779266
2023-05-22,,,,,,,,1.0,1.003734131046485,1.0076163761196022,1.0112397681376708,1.019724696956608,1.0268447802839697,1.0316515107834292,1.0375317404675302,1.0419764882476972,1.050540593722954,1.0563555999992205,1.0624183661305968,1.0694104643383684,1.0717646320936396,1.0770328990531257,1.0827608381505065
2023-05-26,,,,,,,,,1.0,1.0039498312047854,1.0079752911215754,1.0154972035307261,1.022079323548357,1.0269557897911092,1.031796102597022,1.0357996840258568,1.0444590727816172,1.051205168324246,1.057205458395801,1.0646305893034225,1.067316921014175,1.0719524251647026,1.0779748704021057
2023-05-30,,,,,,,,,,1.0000000000000002,1.0039996537520457,1.010489426277597,1.016475989998861,1.0212307107980025,1.0258676163695108,1.0299353505183528,1.0385928864440657,1.0453920540156445,1.051393965914088,1.0585604316912185,1.06133417803742,1.0659899813196843,1.071847660882614
2023-06-03,,,,,,,,,,,0.9999999999999999,1.0054547632086424,1.0108524374899994,1.0155871409411807,1.019531643678462,1.0233679444218582,1.032058124846418,1.0394082334444683,1.0453736230052508,1.052665059927665,1.055671451782973,1.059975417386034,1.0659225294739743
2023-06-07,,,,,,,,,,,,1.0,1.0047240232401058,1.0093354082734636,1.0129670093225929,1.016815359940549,1.0254857012981102,1.0329803769198824,1.0389442721326063,1.046014479632798,1.0491476875652794,1.0534125740852531,1.0592198681330667
2023-06-11,,,,,,,,,,,,,1.0,1.0045042963202975,1.0078974798352407,1.011765099101835,1.0204043323530043,1.0280114092488142,1.033980452241794,1.040862777275574,1.0441013755568254,1.0483446718504925,1.0540319604197297
2023-06-15,,,,,,,,,,,,,,1.0,1.003036039902682,1.006817750577431,1.0154086830531288,1.023277932928821,1.0292457326893625,1.0360784709593702,1.0394650639752407,1.0435744694221096,1.0492304396409353
2023-06-19,,,,,,,,,,,,,,,1.0,1.004488189947425,1.0128748201335886,1.01959907732001,1.0256976440609022,1.0314108798594985,1.0345377192982617,1.0395882129863483,1.0444967426478062
2023-06-23,,,,,,,,,,,,,,,,1.0000000000000002,1.0082618432952166,1.0142272697082646,1.0203963746411446,1.0251580456681035,1.0281206041726316,1.033805146759932,1.0380885155233737
2023-06-27,,,,,,,,,,,,,,,,,1.0000000000000002,1.0062063988779573,1.0123127553925744,1.0166888053406236,1.0198020476936631,1.0253169240546565,1.0293896173021173
2023-07-01,,,,,,,,,,,,,,,,,,1.0,1.0060189848686536,1.0110830909671937,1.0146723962087454,1.0191753963237782,1.0237315612837004
2023-07-05,,,,,,,,,,,,,,,,,,,1.0,1.0046237629146415,1.0082569779428687,1.0128940712322618,1.017185174444627
2023-07-09,,,,,,,,,,,,,,,,,,,,1.0,1.003972670922242,1.0079486201060166,1.0125681269658804
2023-07-13,,,,,,,,,,,,,,,,,,,,,1.0,1.0037977753546659,1.0084360823341603
2023-07-17,,,,,,,,,,,,,,,,,,,,,,1.0,1.0039979970182498
2023-07-21,,,,,,,,,,,,,,,,,,,,,,,1.0000000000000002
