,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23,2023-06-27,2023-07-01,2023-07-05,2023-07-09,2023-07-13,2023-07-17,2023-07-21
2023-04-24,1.0,1.0003068777119961,1.0005745325669062,1.0008834741775667,1.0011948522897547,1.000837102685732,1.0008249078950708,1.000778927867755,0.9993813416604423,0.9994338073929719,0.9984504980378217,1.0013550623357461,1.0035854619630398,1.0041014703793334,1.0081643592684777,1.0104306249035802,1.0130684745817597,1.0123704514527927,1.013610492200013,1.0136754243081327,1.0129925712272978,1.016139217323281,1.016430978698395
2023-04-28,,1.0000000000000002,1.000281175369276,1.0005753552150913,1.00089351824689,1.000604504446942,1.0005989239946271,1.0005604249835456,0.999233266780324,0.9992781962714311,0.9983131476471366,1.0008554300462509,1.0028730219640476,1.003352528971548,1.0072583926326362,1.0095084221157324,1.0121809808222337,1.011587838773719,1.012815286882531,1.0128464235569372,1.0122037040642857,1.0152849796678693,1.0155538296528712
2023-05-02,,,0.9999999999999999,1.0002691752828072,1.0006071420217082,1.0004537336656845,1.000464445295276,1.0004432232780915,0.9992520724250753,0.9992884269198751,0.9983772798911065,1.000486794561282,1.0022494247147002,1.0026972892982435,1.0063407312338422,1.008524877308122,1.011239930067523,1.0108437726899817,1.0120471580421508,1.0120935321207336,1.0115178041439772,1.0144625888674395,1.0147409149143665
2023-05-06,,,,1.0,1.0002785049118423,0.9999295511609528,0.9998857601798048,0.9998199987752614,0.9984596498438585,0.9984699049478364,0.9974237727150693,0.99907444916199,1.0005661871582212,1.000905247625291,1.004693490899424,1.0070718390623405,1.0098162020383536,1.0092200923762709,1.0104442957948854,1.0101926698767334,1.0095744585687898,1.0126992706580837,1.0127816541002879
2023-05-10,,,,,1.0000000000000002,0.9998244213428061,0.9998080045811212,0.9997702181391167,0.9985922958927811,0.9985954119980311,0.9976358825702697,0.998896618927732,1.0001626354033526,1.0004927468373273,1.003963568297987,1.0062419935514415,1.0090469795071915,1.0087177685515223,1.0099125014654946,1.0097410329741998,1.009205869710275,1.0121407459219618,1.0122751429929187
2023-05-14,,,,,,1.0,1.0001674037831867,1.0002874603075436,0.9998824696890198,0.9999204759613667,0.9994267237772057,1.0005345015483056,1.0017213412465769,1.0022262249233524,1.0046340509791891,1.0063028521986652,1.0091960205764612,1.0098964832390533,1.010979311033991,1.0115477211044106,1.0113015593803178,1.0134343874565765,1.0140531412708484
2023-05-18,,,,,,,1.0,1.0001481047619822,0.9998846608525421,0.9999242324737433,0.9995034125844527,1.0003694723945513,1.0014197502352238,1.0019301842009813,1.0041100075886993,1.0056964114280635,1.0086250995936412,1.0095250825731696,1.0105876999633137,1.0112351194106037,1.0110546169313874,1.0130455189391039,1.0137158357669245
2023-05-22,,,,,,,,1.0,0.9998468901648025,0.9998883196387077,0.9995263099309433,1.0001877435717583,1.0011247189925483,1.0016410082788352,1.0036378693163404,1.0051625157894406,1.0081236527936832,1.0091854531483089,1.0102322868059452,1.0109414919327482,1.0108156617641308,1.012693165375432,1.013403487143453
2023-05-26,,,,,,,,,1.0,1.0000802290668955,1.0001106417050283,1.0006803587335429,1.001574665840963,1.002243903642309,1.0033665411523565,1.0043768407189837,1.0073911232540014,1.009298921687891,1.010252138912186,1.01158492568327,1.0117016896989326,1.0129150195693861,1.014033156552165
2023-05-30,,,,,,,,,,1.0000000000000002,1.000020441212768,1.0004705477652045,1.00129907318734,1.0019562644753282,1.003064266086495,1.0040848034493979,1.0070910818821541,1.0089978998394697,1.0099537968225438,1.0112565416034394,1.0113877915299745,1.0126118767338341,1.0137093365210692
2023-06-03,,,,,,,,,,,0.9999999999999999,1.000332593695336,1.0010993679297984,1.001835573543923,1.0024333562058305,1.0031568777792355,1.0061706074598071,1.0085564987117008,1.0094601258410048,1.0111031986860193,1.011383345677352,1.0122343424895293,1.0135534161299673
2023-06-07,,,,,,,,,,,,1.0,1.0006551940028214,1.0013818513029031,1.0018655517332267,1.002540821032593,1.0055232404263268,1.0079916935673165,1.0088906375921871,1.010551937515565,1.0108786591200123,1.0116774426946222,1.0130067110824639
2023-06-11,,,,,,,,,,,,,1.0,1.0006985278122171,1.001084173194538,1.0017334607904498,1.0046728995825676,1.0072061335237412,1.0081047141073551,1.009746199380189,1.0101190637001116,1.0108846538736058,1.0121985300695362
2023-06-15,,,,,,,,,,,,,,1.0,1.0001543854637416,1.0006729423395024,1.0035474063061103,1.0062939633979178,1.0071811421366301,1.0089221356594076,1.009385700571397,1.0100032526328542,1.011377500669307
2023-06-19,,,,,,,,,,,,,,,1.0,1.0012186101434668,1.0039224879442663,1.0055296320258966,1.0065809593995814,1.0073517075733154,1.0075373211278615,1.0091136997306964,1.0098415323646048
2023-06-23,,,,,,,,,,,,,,,,1.0000000000000002,1.0025919452297358,1.003423595639214,1.0045608959525412,1.0045283578536404,1.0045157088043841,1.0067308084916462,1.006930128018104
2023-06-27,,,,,,,,,,,,,,,,,1.0000000000000002,1.00098300832445,1.0020253037243048,1.001809858422566,1.0018534837820254,1.0038662612597318,1.003975747552233
2023-07-01,,,,,,,,,,,,,,,,,,1.0,1.0009017586830316,1.0015442519999056,1.0019612870463226,1.0029156615407098,1.0036043039969365
2023-07-05,,,,,,,,,,,,,,,,,,,1.0,1.0004127495957276,1.0008047588243332,1.0018830491380244,1.002438964573627
2023-07-09,,,,,,,,,,,,,,,,,,,,1.0,1.0006599224137123,1.001050567933294,1.0020206911184908
2023-07-13,,,,,,,,,,,,,,,,,,,,,1.0,1.0001994135961252,1.0012650954804254
2023-07-17,,,,,,,,,,,,,,,,,,,,,,1.0,1.0005311167061353
2023-07-21,,,,,,,,,,,,,,,,,,,,,,,1.0000000000000002
