,2023-02-24,2023-02-28,2023-03-04,2023-03-08,2023-03-12,2023-03-16,2023-03-20,2023-03-24,2023-03-28,2023-04-01,2023-04-05,2023-04-09,2023-04-13,2023-04-17,2023-04-21,2023-04-25,2023-04-29,2023-05-03,2023-05-07,2023-05-11,2023-05-15,2023-05-19,2023-05-23,2023-05-27,2023-05-31,2023-06-04
2023-02-24,1.0,1.003354651799736,1.0148467743006122,1.0189932747710397,1.0237900217498466,1.0322339019770614,1.0310779799492835,1.0330678209837276,1.0359168920067707,1.0389411540143325,1.040443530505449,1.040810786263048,1.0408128266884364,1.0397141109250374,1.0404391831128563,1.04099966345941,1.0407613129412474,1.0407357066856067,1.0405245547082838,1.0399719020979135,1.0402167630812091,1.0403410044929624,1.040044701842385,1.0383253077935206,1.0381700159815843,1.0376638556392466
2023-02-28,0,1.0,1.0146001669101652,1.019503523462337,1.0239538304583706,1.0295268899435965,1.0302017886790542,1.0319061405212142,1.034792849690057,1.0366727298318226,1.037124391573589,1.03764858042273,1.03774306416133,1.0367277281931788,1.0375049366338347,1.0383187324867693,1.0378750208671819,1.0379694607380732,1.0374856673979962,1.0381138231071758,1.0387419159910136,1.0390564948400705,1.0391431975634406,1.038597131958192,1.038488803451081,1.038378933170675
2023-03-04,0,0,0.9999999999999999,1.0059982945491148,1.0099504743094838,1.0114378129917199,1.0148206382458276,1.0161673904587039,1.0191106779366745,1.0193950001682375,1.0183816804602546,1.0191646054389043,1.0194289065567754,1.0186054197728722,1.0194483102112797,1.0206190766566148,1.0199210895510193,1.0202103195759835,1.0193739750201034,1.0217171452058942,1.0228923147658069,1.0234919405099132,1.0241435067876392,1.0252923862060943,1.025278230165588,1.0257471710777757
2023-03-08,0,0,0,1.0,1.003838877522799,1.0045985214266175,1.008572380737595,1.0098631132863989,1.012784498069952,1.0128157797357575,1.0115537967826111,1.012392804621064,1.0127049771428636,1.0120025739391263,1.0127993139063962,1.0139950071053179,1.013274802999371,1.0135936476986762,1.0127127602159995,1.0153783769047087,1.0166399660390035,1.0172972681413874,1.0180654529125999,1.019545834004235,1.0195781489599909,1.0201624449331603
2023-03-12,0,0,0,0,1.0000000000000002,1.0014199688758048,1.00505701461648,1.0064234057891543,1.0093171335458984,1.0096371804218434,1.008629493045663,1.0094425915767307,1.0097490977135404,1.009093551598636,1.0098381747226255,1.01094921248188,1.010295689756035,1.0105854995140158,1.009783336569204,1.0121911320177406,1.013358272023432,1.013978603384578,1.0146719360702547,1.0159053070818889,1.0159494396133784,1.0164529215292462
2023-03-16,0,0,0,0,0,1.0000000000000002,1.0008243677762159,1.0026472155518409,1.0054505577833395,1.0076328316891743,1.0083220847224859,1.0088909900394432,1.0090655781521487,1.0083697118131263,1.0089654072234022,1.0096278986934473,1.0093270507453658,1.0094156101268865,1.009069129257623,1.0095976934429547,1.0101439789672824,1.0104699671611304,1.010569651193073,1.009961944684095,1.009960911453464,1.0098469932417224
2023-03-20,0,0,0,0,0,0,1.0000000000000002,1.0015436543036456,1.0043070135980745,1.0054084428261245,1.0050590181114167,1.0058000296019225,1.0060985850413418,1.0056752583234856,1.0061837050893063,1.0070073792916545,1.0065424013299675,1.0067314468819435,1.0061416110773924,1.007892881225642,1.0087953859804133,1.0093238561448097,1.0098405473859853,1.0104745660070105,1.0105856262517336,1.0108933748018223
2023-03-24,0,0,0,0,0,0,0,1.0,1.0027015901841114,1.004049536850263,1.003895335469053,1.0046189523992672,1.0049241971318494,1.0046287818229769,1.0050225289307921,1.0057324966516747,1.005334899678365,1.0054870840435681,1.0049678139934182,1.0065397119083472,1.0073576801581978,1.0078639420160296,1.0083406230096552,1.0088236081877402,1.0089743799252777,1.0092342001531789
2023-03-28,0,0,0,0,0,0,0,0,1.0,1.0014484775400965,1.0013710831026925,1.0020956487390584,1.00241244851649,1.002193029655007,1.002530670531598,1.0031906026338586,1.002827245832366,1.0029679229052422,1.0024825178477936,1.0039992072408666,1.0047855109105122,1.0052879675085356,1.005757302829375,1.0061974823393387,1.0063730939060194,1.006621197221199
2023-04-01,0,0,0,0,0,0,0,0,0,0.9999999999999999,1.0006361348387423,1.0012622788135976,1.001527201127166,1.0012955496955795,1.0015717639310047,1.0020463461850113,1.0018330666496142,1.001891485070987,1.0015991727180293,1.0023331306822982,1.0028645965939584,1.0032480245083781,1.0034730461448902,1.003148971722367,1.003307070271792,1.0033008532187393
