,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23
2023-04-24,0.9999999999999998,1.0084717494960775,1.0161566856419455,1.022516828480115,1.0254475532030531,1.0319003648018525,1.0366346044384291,1.0386188034303911,1.0424886488680036,1.045494044000138,1.0486807060842624,1.0529518894257888,1.0603623013612473,1.0662279950503306,1.0694711224689735,1.0786327273164593
2023-04-28,0,1.0,1.0076381900302935,1.0138818146029616,1.016841836291599,1.023162703336714,1.0279153328981516,1.030351348501248,1.0341334536196176,1.0374271698829378,1.0405864455116391,1.0448670183506452,1.051661250018798,1.0571524106859682,1.060410113860543,1.0686139016326024
2023-05-02,0,0,1.0,1.0061395593002787,1.0091254993017977,1.0153285644303969,1.0200973049499893,1.0229353928935334,1.026639185256213,1.0301893839351914,1.0333241076216984,1.0376128050655034,1.043858144145334,1.0490155968910448,1.0522860973477368,1.0596367917143892
2023-05-06,0,0,0,1.0000000000000002,1.003005834861225,1.0091164270491613,1.0138972326065963,1.017048454916333,1.0206908163012596,1.024440583541954,1.0275558434853846,1.0318504300727322,1.0376672427565368,1.0425640251807615,1.0458441627542763,1.0525290818819841
2023-05-10,0,0,0,0,1.0,1.0060646677122056,1.0108517758464084,1.0141598371965632,1.0177716671237065,1.0216214889242163,1.0247271845674102,1.0290249567969685,1.0346276985652623,1.0393943384747246,1.0426794803128545,1.0490316795072772
2023-05-14,0,0,0,0,0,1.0,1.004801916617438,1.008439959126524,1.0119889681331402,1.016049878132585,1.0191365511880317,1.0234424331266758,1.0285981465458085,1.0330934720998057,1.036390200326819,1.0420468215959684
2023-05-18,0,0,0,0,0,0,1.0,1.0038812338764056,1.007382585961288,1.011598509545062,1.0146701072204785,1.01898061514385,1.023803644608908,1.028096617051304,1.0314008690893863,1.0365405906287994
2023-05-22,0,0,0,0,0,0,0,1.0,1.0034610452836723,1.007807477547253,1.0108662497555054,1.015180492232716,1.0197228983557312,1.023845131233181,1.0271555990809909,1.0318593989037688
2023-05-26,0,0,0,0,0,0,0,0,1.0,1.0044740687431515,1.007521447940896,1.011840725255703,1.0161132664259582,1.0200717537065291,1.0233893245733507,1.027673138627832
2023-05-30,0,0,0,0,0,0,0,0,0,1.0,1.0030322838979981,1.0073553489708729,1.0113048865321046,1.0150666902161325,1.0183910173333883,1.0221733506195538
2023-06-03,0,0,0,0,0,0,0,0,0,0,1.0,1.0043275306279293,1.0080337224066158,1.0116478483548739,1.0149785223858736,1.018382181261574
2023-06-07,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0034202105469527,1.006859689094824,1.0101950706954892,1.0131556068584864
2023-06-11,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000000000002,1.0032919052960532,1.006633060724588,1.0092161468052938
2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0033457018967173,1.0055968126849064
2023-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0019105762188816
2023-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999998
