,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23
2023-04-24,1.0,1.0000694176325022,1.0000459652504596,1.0000845344524267,1.0000816520388232,0.9994604096305375,0.9991459169214814,0.9988413705466722,0.9972647136372051,0.9970945988511333,0.9957452185568045,0.9953231791223058,0.994970400695777,0.9941670490813682,0.9968263309760048,0.9977334682541944
2023-04-28,0,1.0000000000000002,0.999996347519634,1.0000293930923778,1.0000503278673922,0.9995032746063669,0.9992089174024792,0.9989219759890297,0.9974132166613313,0.9972492304549737,0.9959433239885733,0.9955336138141216,0.9951913609871137,0.9944103747415951,0.9969884638871201,0.9978517326556073
2023-05-02,0,0,0.9999999999999999,1.000021572865398,1.0000919939434052,0.9996990222630264,0.9994464684134166,0.9991960735310406,0.9978282213830937,0.9976769507899131,0.9964612288502256,0.9960770909780137,0.9957566702567756,0.9950220683250816,0.9974317415686579,0.9982039585471775
2023-05-06,0,0,0,1.0,1.0000058767523194,0.9994119579708817,0.9991048904773129,0.9988068380491794,0.997255252373648,0.9970874023566293,0.9957540966432196,0.9953366185187723,0.994987733640222,0.9941926587026407,0.996821910389561,0.9977128563533824
2023-05-10,0,0,0,0,1.0000000000000002,0.9996181003132035,0.999368564228463,0.9991208104343992,0.9977631793685438,0.9976128337800265,0.9964036859321245,0.9960214159216679,0.9957025891539141,0.9949713788358039,0.9973687619976771,0.9981343848939638
2023-05-14,0,0,0,0,0,1.0,0.9999922708329914,0.9999559386311243,0.9994137569708608,0.999337019268423,0.998650036891821,0.9984158592272021,0.998223459219906,0.9977608945296894,0.9991830506237374,0.9994218278923679
2023-05-18,0,0,0,0,0,0,1.0,1.0000010965658972,0.999603318293704,0.9995396182554659,0.9989451381404887,0.9987371992582995,0.9985671985851847,0.9981522360060852,0.999401615130886,0.9995471076953123
2023-05-22,0,0,0,0,0,0,0,1.0,0.9997169475265756,0.999663606696623,0.99914263046068,0.9989555428170387,0.9988033420008973,0.9984262089044844,0.9995382913559965,0.9996096750836816
2023-05-26,0,0,0,0,0,0,0,0,1.0,1.000007268736846,0.9999164027485563,0.9998513417783765,0.9998033073204474,0.9996475762285395,0.9999562098667564,0.9995941166427015
2023-05-30,0,0,0,0,0,0,0,0,0,1.0000000000000002,0.9999031359886043,0.9998363734152259,0.9997868863890135,0.999628068046084,0.9999479056875821,0.999591858559701
2023-06-03,0,0,0,0,0,0,0,0,0,0,0.9999999999999999,1.0000019901364319,1.0000111903528737,0.9999771279033616,0.9998443240984878,0.9992442469082676
2023-06-07,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0000181081028068,1.000002983273154,0.9998014766306351,0.9991643743992846
2023-06-11,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9999979952528829,0.9997488967945767,0.9990861586871551
2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9995630606662635,0.9987991284569744
2023-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9998490245630369
2023-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000000000002
