,2023-03-24,2023-03-28,2023-04-01,2023-04-05,2023-04-09,2023-04-13,2023-04-17,2023-04-21,2023-04-25,2023-04-29,2023-05-03,2023-05-07,2023-05-11,2023-05-15,2023-05-19,2023-05-23,2023-05-27,2023-05-31,2023-06-04,2023-06-08,2023-06-12,2023-06-16,2023-06-20,2023-06-24,2023-06-28,2023-07-02,2023-07-06,2023-07-10,2023-07-14,2023-07-18,2023-07-22
2023-03-24,1.0,1.0000150043915732,1.0001891471166269,1.0002390924529536,1.000314140621673,1.0004196170593005,1.0004270895049576,1.0004112220894859,1.0004812523393563,1.0004900876117602,1.0004890051940205,1.0005297349952889,1.0005026645784671,1.0005343289171076,1.0004907757942745,1.0004754913868856,1.0004266131628647,1.0003985678371383,1.0005101427093872,1.0004326564482586,1.0003168369202233,1.0003206163380607,1.0002858607465746,1.0002897526289962,1.0004321255592061,1.0004180700351448,1.0003814070189196,1.000378502715744,1.0004863576070442,1.0004723942846057,1.000401685086035
2023-03-28,,1.0,0.9997774170197484,0.9998450535318655,0.9999176804437662,1.000096870786802,1.0001169774035692,0.9999886812398153,1.0001533117135961,1.0001969104768174,1.0001480061925203,1.000283023804585,1.0003631741088777,1.0003893712276615,1.0004201922032467,1.0004282803893298,1.0004291521844717,1.0004252729560315,1.0004330535974217,1.0004555731650222,1.000432697542767,1.0004347996501761,1.0004243888288205,1.0004267510735745,1.0004813081524175,1.000482422453525,1.0004773813230763,1.0004764139443083,1.0005144563788126,1.000512013742159,1.000492822467811
2023-04-01,,,0.9999999999999999,1.0000401168474895,1.000116475963199,1.0001810483288045,1.0001815154002582,1.000227975830542,1.000245536844132,1.000235101759309,1.00026052423281,1.0002489834301707,1.0001625219763,1.000197201570178,1.0001124728664286,1.000084251369338,1.0000078456926038,0.9999664322238745,1.0001354345497226,1.0000026040406282,0.9998353821022129,0.9998400883162729,0.9997918731351775,0.9997966099718096,0.9999875319305678,0.9999650844182401,0.9999109324338238,0.9999069572155955,1.0000534137876431,1.0000330781088662,0.9999338794033238
2023-04-05,,,,1.0,1.0000760635374266,1.0001496526717193,1.0001516648185362,1.000184373641385,1.0002135064518338,1.0002073225173986,1.0002268968983423,1.00022688571362,1.000153529492271,1.0001875412247823,1.000111899741457,1.0000865334016662,1.0000162040913898,0.9999777417531401,1.000134066795562,1.0000134511930354,0.9998575769046628,0.99986207838427,0.9998168347820225,0.9998213849297567,1.0000015866037215,0.9999809913281621,0.9999306999604671,0.9999269611942031,1.0000648942185268,1.000045965317812,0.9999530565547515
2023-04-09,,,,,1.0,1.0000712921547281,1.0000729116125804,1.0001091110769305,1.0001353016724135,1.0001280382964954,1.0001490966533373,1.0001461564411096,1.0000694771873058,1.0001036556545624,1.0000257120701443,0.9999996225538605,0.9999277555747607,0.9998885467980272,1.0000480790894613,0.9999243706261736,0.9997656268019088,0.9997701799083362,0.9997241852425409,0.9997287824283869,0.9999116921611493,0.9998906280840248,0.9998393602248824,0.9998355617079172,0.9999756483210535,0.999956363649693,0.9998618648810466
2023-04-13,,,,,,1.0,1.0000057786521181,1.0000049622192704,1.0000623017383894,1.0000664819479566,1.0000717981693938,1.000099894926976,1.0000584958901235,1.000090876756367,1.0000373979115649,1.0000189953600935,0.9999634880843562,0.9999322249543864,1.0000576257685037,0.9999668042581991,0.9998386141319079,0.999842615990872,0.9998046226366388,0.9998087171596658,0.9999627622870442,0.999946685397077,0.9999058124229283,0.9999026505631669,1.000019787801007,1.000004290798717,0.9999267276445257
2023-04-17,,,,,,,1.0,0.9999931782130951,1.0000555715003514,1.0000616083840765,1.0000643705788488,1.0000975031057813,1.0000618283741365,1.0000939177184907,1.0000444084724631,1.0000272532306653,0.9999744005194768,0.999944426683558,1.0000642893038016,0.9999788041958353,0.9998555720079,0.9998594844216367,0.9998227894715087,0.9998268024334945,0.9999761637945491,0.9999608961907496,0.9999217100190188,0.9999186514690767,1.0000320648442709,1.0000171824510917,0.9999423673916809
2023-04-21,,,,,,,,1.0,1.0000150867391837,1.0000037466994174,1.0000304114505565,1.0000164123402402,0.999927174114052,0.9999619880323442,0.9998753398302626,0.9998465156252377,0.9997688311525463,0.9997267976346735,0.9998984656722654,0.9997630595573954,0.9995934553460221,0.9995982041397659,0.9995493661797075,0.9995541417370571,0.9997473064310368,0.9997244689172692,0.9996695058057501,0.9996654810647383,0.9998137220877223,0.9997930909796305,0.9996925733351691
2023-04-25,,,,,,,,,1.0000000000000002,1.0000018091240055,1.0000103862131324,1.000032050825751,0.999983345561033,1.000016096361138,0.9999575527724951,0.9999375589319894,0.9998786662124225,0.9998457591279248,0.9999782222873156,0.9998805936271802,0.9997460823763975,0.9997501981525537,0.999710549734225,0.9997147481010145,0.9998747624272892,0.9998576533909341,0.9998146296390913,0.9998113361001276,0.9999332196063389,0.999916938973328,0.999835872593211
2023-04-29,,,,,,,,,,1.0,1.0000005988717209,1.0000379946206144,1.0000071703287037,1.0000390109120914,0.999992866751007,0.9999767689733029,0.9999261677467187,0.9998972876884972,1.000012452507952,0.9999314923035029,0.9998124667055202,0.9998163031311909,0.9997807100856841,0.999784653731692,0.9999300392134823,0.9999154579726288,0.9998777028231842,0.9998747319557053,0.9999849846045357,0.9999706236535267,0.9998981406025023
